user,node_hash,weight
154306126,2737567537100790972,1
154492035,-33164971620954190,3
154670627,6916619581596412427,1
155886173,5419763371675498849,1
155898483,6470932913908707024,1
156585385,-5401299849825623630,1
156678413,-6859116496717246109,1
156960880,5348082203950952603,1
157029565,-1361960589853980991,1
157634351,8192870557014999135,1
157947389,-2135019779671148910,1
158493931,-3944435243881143689,1
158783452,-4617094280360182992,2
160517171,5985552342898506039,1
160863998,9041053889570165971,1
160938925,880753457583270406,1
161043896,-7916568348881780203,1
162000741,-6578350800200577479,1
162694919,-7239130438557256347,1
163001527,7491329602912394936,2
163249391,-6427056203291773571,1
163882971,-7243202859596208806,1
163904433,-4517996689555092806,1
164298084,7831564276532174722,1
164989433,1985729185242006820,2
165051584,-4671853918196862841,1
166055040,6878458171380757372,1
166475476,-4315405346777025252,1
166912908,-2207191981689809549,1
167405507,-6955024921782583081,1
167585546,-3877681131526706624,1
167874734,6439407727408488087,1
168163906,1290021009742761292,1
168183085,7520618862597556939,1
168425731,293335746727558444,3
169267484,8793914715624001831,1
170003040,-3071590585323988565,1
171002941,2536569575011681351,1
171057477,-8343144607073986449,1
171110904,-4880701464357056499,1
171435088,-5257289996776767456,1
172315501,-7005735455754966435,1
172393382,-5486216125198218389,1
172826453,-3297106171569502761,2
173681093,-4551587814334937167,2
174629833,8639430299653208034,2
175315567,-377397128697717916,2
175811942,-3565558470114256596,1
176362396,6695164891493294265,1
176606243,286784046149935568,2
176727836,2859661290589725682,1
176775029,-658360518523259826,1
178436339,-2049405664838429897,1
180805685,-603820080545558263,1
