hashtag,node_hash,weight
fcim,741582401755883941,1
featured,1668809541670075026,1
feltri,-2907603592242446338,1
femminile,-4520468522698464331,1
femministerie,-5070033130286371037,1
fendom,3762054181611881121,1
ferentino,-890946542465813500,1
ferlaino,3369557674893421164,7
ferrara,6279215698922088588,1
feste,-137954878486013178,1
festivaldellavoro2020,8540645535987742783,1
festività,-7321008040414580697,1
fetish,-8048250392421696111,1
fi,4583790553182580097,2
fiaba,-6006564872519527916,1
fibisgare,-4381087008415591899,1
fibislazio,-6055518613549084804,1
fico,1610641895712758144,1
fidanzata,-1605352767896639639,1
fifa21,88813112078186197,1
figli,5324840479780321770,3
figlio,4851188217289363091,1
film,-7761256606481156251,3
fimcisl,1758050595840528736,2
finanza,4675087942781578788,1
finanzaagevolata,-3281228112105362268,1
fintech,-1922021671247895836,3
fiorentina,-1680653652484277352,1
firenze,1621637391201043885,1
fitness,5351166318245813937,1
flightaware,8337138461794207531,1
floraldesigner,-2429575513342542477,1
focus,1581356885336231637,1
follotrick,5023496206757590803,1
followtrick,-1429733369261923216,1
fondoperduto,-3708983273173317631,2
fondosocialeeuropeo,-4944897036670397684,2
fondotrovato,-7460770646041843590,1
food,-6248182916591715035,4
foodie,1183765740565258115,1
football,4093885196000084400,1
foracrivella,804021809649804261,1
formazione,-3952539049190805552,4
formazioneoar,6312051723703444921,1
forum,5694330507442680197,1
forzainter,7275315510993824958,2
forzanapolisempre,4033766975553625483,2
francescorutelli,5843322370370297966,3
francia,2449438225994535340,1
frasi,9017813834490227393,1
fratelliditalia,6935943393500502586,1
fratellitutti,-1838486344294305491,2
fraud,-2907289862054786286,1
frauknam,-7231366148281853120,1
fridaylivestream,6810452793829028529,1
fumettimanga,3202648458657948510,1
fumetto,-4512753175005849388,1
fundrasing,120911799123581431,1
fuoridalcoro,-3797669659140090118,1
fusion,5229660513181037269,1
fut,1197208400148003937,1
fut21,-8663464670951689819,1
future,-3965022963681831535,2
futuro,-4218558766517630108,3
fvg,6921408138257421575,1
g20,8965604634720275343,2
gameboy,-1347409477428197869,1
gameplay,6547655797964367677,1
gamers,8864179017101041912,1
gaming,3169645612545427219,1
garibaldi,6388986857380457059,1
gasperini,6378800837943576501,1
gastrite,-1891803286359372321,1
gatti,9153868610322257315,2
gattini,2212165507367574765,1
gattuso,-8705828092254081409,1
gdf,-3820554933891519922,1
gdr,2601718069964628813,1
gefit,5724215951504609566,1
gel,-5434374578439911040,1
gelosia,7012275762810972464,1
genitore,1022737602401158766,1
genitori,6910905960483555253,3
gennarovolpe,-1952801873188151366,1
genovese,-8784117426250280984,4
gfivip,-3648161390814155162,1
gfivp,-2005035523437340131,7
gfvip,1274904134111141629,542
gfvip2020,-4859492410816852993,1
gfvip5,-6500402912883084185,3
ggi,-3082973811740885351,3
ggivicenza,-2840700268825345423,3
ghassannjjar,-5071280819128527125,1
ghelp,-2264848848903667780,1
gianicolo,-7357529778971995255,1
giffoni50,-5841000436124280576,1
gigi,1042190249201715684,1
gigihadid,-630082686706212752,1
gigiproietti,-2124111263533904708,1
gigishow,1669270909314181905,1
giletti,853269802473524411,3
giochistarter,3674616780955750698,1
giocodatavolo,-2873511760769618108,1
gioielli,7491548359251163186,1
giorgiodiritti,3015757438757859698,1
giornale,4696857311140947654,1
giornaleannunci,6569219575827222188,1
giornalismo,-8817468914878632378,2
giornatamondialecontroaids,-4127097356602834649,1
giornatamondialecontrolaids,2548109593900523887,6
giornatamondialedeldono,-3444591574414445040,1
giovane,4157163490708885473,1
giovanicaregiver,-1410556712297685035,2
giuda,-5075406004969266099,1
giudice,-6750459003298131282,1
giuliasalemi,5847582028078401383,1
giulioregeni,-8412496635570924990,1
giuseppi,2641254165294951709,1
givingtuesday,7244372877704425439,3
gladbach,822488639317319805,2
godzilla,-8424160114114718795,1
goodvibes,-8760460468014264017,1
gori,2045761098329677506,1
got7_breathoflove_lastpiece,4548648745973126709,1
gothic,6470267186866355088,1
gotlp,520413393857166257,1
governati,-2312131949662848498,1
governo,6107814259715530859,13
governodellavergogna,1492957573149346410,2
governodicialtroni,144478951675018807,2
governodincapaci,-1343536479276026343,1
gozi,-6483874546804635978,1
grado,-4880308353695125473,1
grammys,2062197714691848633,1
grandeamore,8901974575551617175,1
grandefratellovip2020,9038391388099078856,1
graziani,6319534860347168909,1
grazieermal,-6318429082631177285,1
gregorelli,-5113602650357908655,33
grottaglie,6434757521861618422,1
gruppohera,-4596791620427242635,1
gsvip,7717438094283997263,2
gualtieri,-8307377627550091071,2
gualtieridiffidato,-5615264345362276680,3
guasto,-7805048832594293342,1
gubitosi,6856641065492211668,1
guerra,-2307681073886845405,2
gym,902815013166218577,1
gym2go,836080526491897050,1
h2020,356409750017104246,1
h2020ee,5331402767528234063,1
habraconsecuencias,-2730682201337587699,3
haftar,-694218198893003720,1
hakimi,4802683863166052190,1
hamilton,2558294428443418970,4
happybirthday,-7565235003900434605,1
happynewmontherica,1235454174152600098,1
hard,1318952308003702133,1
haydaypop,1693920802133124094,1
hbdaybadr,957908275555283486,1
hillbillyelegy,2650029581048948182,1
